2025-06-17 09:36:22 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:36:22 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:36:22 | INFO | voice_audio_recorder | 開始錄音，預定時長: 3秒
2025-06-17 09:36:25 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:36:26 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:36:26 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:36:26 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:36:26 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:36:26 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:36:26 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:36:26 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:36:26 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:36:26 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:37:03 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:37:03 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:37:03 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:37:03 | INFO | voice_audio_recorder | 開始錄音，預定時長: 3秒
2025-06-17 09:37:06 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:37:07 | WARNING | voice_audio_recorder | 目前沒有在錄音
2025-06-17 09:37:07 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:37:07 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:37:07 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:37:07 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:37:07 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:37:07 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:37:07 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:37:07 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
